animal_name,status,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Dasycercus blythi,lc,Dasyuromorphia,83.8,3.657635768,1.28464,197.5,0.0,50.0,50.0,3,2,G,3,2,1,1,2701.0,6.25,1.0,364.750171,38.495,120.0,339.56,402.615,1070.30375,649.5341957,1398.835,1.928869855
Dasycercus cristicauda,nt,Dasyuromorphia,90.0,3.569235018,1.28464,197.5,0.0,70.0,30.0,3,2,G,3,2,1,1,2701.0,6.25,1.0,364.750171,38.495,120.0,339.56,402.615,1070.30375,652.6294357,1417.133,1.997524829
Dasykaluta rosamondae,lc,Dasyuromorphia,32.17,28.72927747,0.55944,110.0,0.0,40.0,60.0,3,2,G,1,1,1,0,1095.0,7.32,1.0,364.750171,49.69,111.5,314.39,374.225,612.15985,518.9898491,1062.606,1.206602933
Dasymys foxi,dd,Rodentia,116.965,9.6951575,1.464357226,190.0,100.0,0.0,0.0,1,1,G,4,1,1,0,365.0,2.585,3.431085,42.9786276,34.17159383,30.218,71.81512,116.5195457,637.8480853,1230.210378,1498.75505,0.325639159
Dasymys incomtus,lc,Rodentia,116.965,9.671369167,1.37,190.0,100.0,0.0,0.0,1,1,G,5,1,1,0,365.0,2.585,3.45369,42.79912555,33.81681644,30.218,71.81512,116.473087,635.4718125,1718.4,1553.0851,0.325639159
Dasymys montanus,en,Rodentia,116.965,9.6062225,1.462564882,190.0,100.0,0.0,0.0,1,1,G,3,1,1,0,365.0,2.585,3.423325,42.69424238,34.14981317,30.218,71.81512,110.8151832,623.505175,1274.741176,1200.0,0.325639159
Dasymys nudipes,dd,Rodentia,116.965,9.1353525,1.579455639,190.0,100.0,0.0,0.0,2,1,G,2,1,1,0,365.0,2.585,3.41719,43.5100636,33.99125745,30.218,71.81512,111.2635899,633.3312622,1080.269151,1254.576533,0.325639159
Dasymys rufulus,lc,Rodentia,116.965,9.6642275,1.445838953,190.0,100.0,0.0,0.0,1,1,G,2,1,1,0,365.0,2.585,3.435535,42.76438934,34.31662907,30.218,71.81512,111.0170749,630.0379879,1091.773237,1280.479533,0.325639159
Dasyprocta azarae,dd,Rodentia,3412.905,2477.537646,18.25,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,4307.0,1.75958,1.84324,147.8078649,122.405388,140.0,360.0306801,462.053984,1809.034129,5.806666667,699.0,2.082208308
Dasyprocta coibae,nt,Rodentia,2229.56,227.0,18.69534348,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,5037.0,1.64,1.87,126.9130733,109.825,140.0,487.0,596.825,1790.627906,19.12367705,1443.931,1.647503726
