animal_name,status
Murina cyclotis,lc
Murina cyclotis,lc
Murina cyclotis,lc
Murina florium,lc
Murina fusca,dd
Murina harrisoni,lc
Murina hilgendorfi,lc
Murina huttoni,dd
Murina leucogaster,lc
Murina puta,lc
Murina rozendaali,vu
Murina ryukyuana,en
Murina suilla,lc
Murina tenebrosa,cr
Murina tubinaris,dd
Murina tubinaris,dd
Murina ussuriensis,lc
Mus baoulei,lc
Mus booduga,lc
Mus bufo,lc
Mus callewaerti,dd
Mus caroli,lc
Mus cervicolor,lc
Mus cookii,lc
Mus crociduroides,dd
Mus cypriacus,lc
Mus famulus,en
Mus fernandoni,en
Mus fragilicauda,lc
Mus goundae,dd
Mus haussa,lc
Mus indutus,lc
Mus macedonicus,lc
Mus mahomet,lc
Mus mattheyi,lc
Mus mayori,vu
Mus minutoides,lc
Mus musculoides,lc
Mus musculus,lc
Mus neavei,dd
Mus orangiae,Remove
Mus oubanguii,dd
Mus pahari,lc
Mus phillipsi,lc
Mus platythrix,lc
Mus saxicola,lc
Mus setulosus,lc
Mus setzeri,lc
Mus shortridgei,lc
Mus sorella,lc
Mus spicilegus,lc
Mus spretus,lc
Mus tenellus,lc
Mus terricolor,lc
Mus triton,lc
Mus vulcani,lc
Muscardinus avellanarius,lc
Musonycteris harrisoni,vu
Mustela africana,lc
Mustela altaica,nt
Mustela erminea,lc
Mustela eversmanii,lc
Mustela felipei,vu
Mustela frenata,lc
Mustela itatsi,nt
Mustela kathiah,lc
Mustela lutreola,cr
Mustela lutreolina,lc
Mustela nigripes,en
Mustela nivalis,dd
Mustela nudipes,lc
Mustela putorius,lc
Mustela russelliana,dd
Mustela sibirica,nt
Mustela strigidorsa,lc
Mustela subpalmata,lc
Mustela tonkinensis,dd
Mydaus javanensis,lc
Mydaus marchei,lc
Mylodon darwinii,Remove
Mylohyus nasutus,Remove
Mylomys dybowskii,lc
Mylomys rex,dd
Myocastor coypus,lc
Myodes andersoni,lc
Myodes californicus,lc
Myodes centralis,lc
Myodes gapperi,lc
Myodes glareolus,lc
Myodes regulus,lc
Myodes rex,lc
Myodes rufocanus,lc
Myodes rutilus,lc
Myodes shanseius,lc
Myodes smithii,lc
Myoictis leucura,dd
Myoictis melas,lc
Myoictis wallacei,lc
Myoictis wavicus,dd
Myomimus personatus,dd
Myomimus roachi,vu
Myomimus setzeri,dd
Myomyscus angolensis,lc
Myomyscus brockmani,lc
Myomyscus verreauxii,lc
Myomyscus yemeni,dd
Myonycteris brachycephala,en
Myonycteris leptodon,lc
Myonycteris relicta,lc
Myonycteris torquata,lc
Myoprocta acouchy,lc
Myoprocta pratti,lc
Myopterus daubentonii,dd
Myopterus whitleyi,lc
Myopus schisticolor,lc
Myosciurus pumilio,lc
Myosorex babaulti,lc
Myosorex blarina,en
Myosorex bururiensis,vu
Myosorex cafer,vu
Myosorex cafer,vu
Myosorex eisentrauti,cr
Myosorex geata,en
Myosorex gnoskei,en
Myosorex jejei,vu
Myosorex kihaulei,en
Myosorex longicaudatus,en
Myosorex okuensis,vu
Myosorex rumpii,en
Myosorex schalleri,dd
Myosorex sclateri,vu
Myosorex tenuis,en
Myosorex varius,lc
Myosorex zinki,lc
Myospalax aspalax,lc
Myospalax myospalax,lc
Myospalax psilurus,lc
Myotis adversus,lc
Myotis aelleni,dd
Myotis albescens,lc
Myotis alcathoe,dd
Myotis altarium,lc
Myotis anjouanensis,dd
Myotis annamiticus,dd
Myotis annectans,lc
Myotis atacamensis,en
Myotis ater,lc
Myotis aurascens,lc
Myotis auriculus,lc
Myotis australis,dd
Myotis austroriparius,lc
Myotis bechsteinii,nt
Myotis blythii,lc
Myotis bocagii,lc
Myotis bombinus,nt
Myotis brandtii,lc
Myotis bucharensis,dd
Myotis californicus,lc
Myotis capaccinii,vu
Myotis chiloensis,lc
Myotis chinensis,lc
Myotis ciliolabrum,lc
Myotis cobanensis,dd
Myotis csorbai,dd
Myotis dasycneme,nt
Myotis daubentonii,lc
Myotis davidii,lc
Myotis dieteri,dd
Myotis dinellii,lc
Myotis dominicensis,vu
Myotis elegans,lc
Myotis emarginatus,lc
Myotis evotis,lc
Myotis fimbriatus,lc
Myotis findleyi,en
Myotis formosus,dd
Myotis formosus,dd
Myotis fortidens,lc
Myotis frater,lc
Myotis frater,lc
Myotis frater,lc
Myotis gomantongensis,lc
Myotis goudoti,lc
Myotis grisescens,vu
Myotis hajastanicus,lc
Myotis hasseltii,lc
Myotis hermani,dd
Myotis horsfieldii,lc
Myotis ikonnikovi,lc
Myotis insularum,dd
Myotis keaysi,lc
Myotis keenii,lc
Myotis laniger,lc
Myotis leibii,en
Myotis levis,lc
Myotis longipes,dd
Myotis lucifugus,en
Myotis macrodactylus,lc
Myotis macropus,lc
Myotis macrotarsus,lc
Myotis martiniquensis,vu
Myotis melanorhinus,lc
Myotis moluccarum,lc
Myotis montivagus,dd
Myotis montivagus,dd
Myotis montivagus,dd
Myotis montivagus,dd
Myotis morrisi,dd
Myotis muricola,lc
Myotis muricola,lc
Myotis myotis,lc
Myotis mystacinus,lc
Myotis nattereri,dd
Myotis nattereri,dd
Myotis nesopolus,lc
Myotis nigricans,lc
Myotis nipalensis,lc
Myotis nyctor,vu
Myotis occultus,lc
Myotis oreias,dd
Myotis oxyotus,lc
Myotis peninsularis,en
Myotis pequinius,lc
Myotis pilosus,vu
Myotis planiceps,en
Myotis pruinosus,en
Myotis punicus,dd
Myotis ridleyi,nt
Myotis riparius,lc
Myotis rosseti,lc
Myotis ruber,nt
Myotis rufopictus,dd
Myotis schaubi,dd
Myotis scotti,vu
Myotis septentrionalis,nt
